Fecha,Diesel,Propano,Regular,Super
2015-09-01,0.0,480268.8857142857,485906.49,576250.2899999999
2015-10-01,0.0,423239.36000000004,432666.75,533620.64
2015-11-01,0.0,637316.4761904761,574547.76,724273.9700000001
2015-12-01,0.0,500684.2857142857,319329.71,498798.79
2016-01-01,0.0,748970.6380952381,546876.54,729211.4299999999
2016-02-01,0.0,287337.7380952381,424074.81,405559.45
2016-03-01,0.0,504451.0714285714,508542.18000000005,771024.11
2016-04-01,0.0,587482.6904761904,527083.64,502728.88
2016-05-01,0.0,416912.47142857144,528347.81,615900.31
2016-06-01,0.0,703319.2333333334,397477.4,502082.45
2016-07-01,0.0,455823.14285714284,526652.73,618366.1
2016-08-01,0.0,588310.5428571429,512202.57,625218.9
2016-09-01,0.0,306543.4095238095,567786.57,677892.97
2016-10-01,0.0,717388.5666666667,455850.75999999995,546154.65
2016-11-01,0.0,505975.97619047615,476784.16000000003,725548.16
2016-12-01,0.0,584807.1904761905,473659.59,526573.96
2017-01-01,0.0,567345.8209523809,527564.9,748233.5800000001
2017-02-01,0.0,279527.2252380952,469140.06,497707.41000000003
2017-03-01,0.0,780048.5861476191,608144.98,734984.24
2017-04-01,0.0,530578.142857143,681303.1099999999,632843.4099999999
2017-05-01,0.0,604702.550952381,386088.18,442311.09
2017-06-01,0.0,487244.1904761905,519389.66000000003,582374.34
2017-07-01,0.0,510428.1433333333,433026.08,769214.06
2017-08-01,0.0,538582.1419047619,592103.31,607368.72
2017-09-01,0.0,350294.5714285714,316435.22,401678.98
2017-10-01,0.0,584709.6085714286,574073.61,657241.76
2017-11-01,0.0,935986.5090476191,434963.36,504247.31
2017-12-01,0.0,595421.4328571428,679441.47,803216.88
2018-01-01,1153831.8900000001,396363.05,571858.0599999999,535784.7
2018-02-01,921684.12,591000.0204761905,509366.1,629467.9099999999
2018-03-01,889227.1,644245.4033333334,563899.06,529507.15
2018-04-01,696962.77,188590.81333333332,510830.0,617512.28
2018-05-01,1592580.34,636234.130952381,580825.11,580329.35
2018-06-01,777679.9099999999,618811.331904762,463620.61,558257.59
2018-07-01,793683.41,584386.1490476191,543333.77,784601.77
2018-08-01,1281364.78,408658.6342857143,663834.04,541557.34
2018-09-01,896266.4299999999,449846.7633333333,454442.87,536897.09
2018-10-01,992682.0399999999,600230.4504761905,726044.35,663440.3400000001
2018-11-01,899588.3400000001,598626.1598412698,534084.49,509382.86
2018-12-01,792198.66,614887.0038095238,535639.97,631652.56
2019-01-01,1195728.2000000002,414086.11666666664,702923.3699999999,684504.84
2019-02-01,1208476.16,460518.7966666667,469437.28,521555.38
2019-03-01,1550052.84,384425.56476190477,678145.38,704276.53
2019-04-01,1215209.05,670633.919047619,867761.34,656495.95
2019-05-01,1011872.8700000001,623466.2185095239,596798.22,568128.4099999999
2019-06-01,1029100.9,612732.2747619048,712731.8,629788.4299999999
2019-07-01,1056569.1099999999,667486.7847619046,531577.64,516273.85000000003
2019-08-01,1167556.8900000001,586430.6452380953,896841.31,713859.98
2019-09-01,717490.02,850778.2085714288,518043.68,491194.7100000001
2019-10-01,1160570.85,225207.04333333333,712672.38,691407.73
2019-11-01,1122990.69,610868.1190476189,791039.02,658706.42
2019-12-01,1098972.3900000001,600003.8504761904,731012.24,797580.75
2020-01-01,999181.2,715600.32,629414.9,573220.63
2020-02-01,1237018.37,451331.7,741509.07,611314.13
2020-03-01,1367335.14,643278.89,735491.29,809640.18
2020-04-01,834366.52,510349.93,329134.18,453153.09
2020-05-01,691066.44,616381.45,415805.82,170292.5
2020-06-01,1066148.05,467664.76,683322.72,415672.19
2020-07-01,779930.57,675337.54,451717.75,347541.59
2020-08-01,791258.19,634320.07,547899.55,414416.34
2020-09-01,1021360.83,315527.09,591799.83,563742.5
2020-10-01,891340.69,960840.53,861840.54,733692.01
2020-11-01,1152909.51,328603.13,696600.14,570262.17
2020-12-01,1050560.83,684160.08,780347.28,777450.55
2021-01-01,1185644.96,475619.49,626537.48,642652.37
2021-02-01,1076824.67,617783.16,715261.34,726508.78
2021-03-01,1345110.18,549815.26,772750.01,850334.64
2021-04-01,1250171.58,664443.94,634408.89,1227173.53
2021-05-01,1279017.24,678501.06,669085.78,649783.14
2021-06-01,1440106.47,466658.55,833544.64,623695.2
2021-07-01,1110409.53,665263.1,833732.31,689717.29
2021-08-01,1175960.64,746002.48,664522.74,685977.45
2021-09-01,896539.24,689829.47,844430.03,646233.31
2021-10-01,1542473.57,696346.9,522701.11,589405.56
2021-11-01,1029780.8,524186.5,692267.31,623392.63
2021-12-01,1294042.31,679415.09,785313.56,640981.15
2022-01-01,1438571.28,657185.7405,848902.97,947226.27
2022-02-01,1217495.31,673218.3012999999,723925.74,673653.8
2022-03-01,1246975.12,713553.4386,772406.1,592318.21
2022-04-01,1284453.73,693964.4,906104.05,493958.31999999995
2022-05-01,1306786.77,667272.19,762776.12,663348.9400000001
2022-06-01,1032070.53,265773.77,641348.46,556311.96
2022-07-01,1116548.97,717652.72,987872.05,611115.01
2022-08-01,1299910.96,735253.72,657942.72,378627.69
2022-09-01,1077517.9000000001,421303.205,869579.64,551589.72
2022-10-01,980527.0800000001,717849.2452,718920.2,529832.42
2022-11-01,1136760.55,691237.42,754135.8599999999,595870.42
2022-12-01,1082107.6400000001,671444.6052,841323.98,602458.3
2023-01-01,1442099.08,497780.69,909391.13,578792.14
2023-02-01,1267967.39,652984.71,725101.2,685183.06
2023-03-01,1317519.91,711978.35,803262.67,633849.05
2023-04-01,1417182.73,647666.3,922032.39,572201.36
2023-05-01,1428099.62,713348.99,947633.29,668478.73
2023-06-01,1278824.18,285817.78,831466.44,639685.8
2023-07-01,1113086.84,1077122.75,830098.86,562498.09
2023-08-01,1075379.76,274973.63,801621.75,669240.21
2023-09-01,1242719.42,591711.91,762592.3,586145.3
2023-10-01,834686.02,673581.15,928439.18,652149.45
2023-11-01,1348739.16,578797.45,839290.02,682060.84
2023-12-01,1509634.28,692182.03,763754.27,571924.92
2024-01-01,1409097.15,701570.8,914133.32,712333.33
2024-02-01,1236861.75,916541.7,740662.25,650360.11
2024-03-01,1477038.0,675157.48,838270.93,620077.74
2024-04-01,1294706.12,473940.66,886132.77,687017.96
2024-05-01,1470870.09,684864.46,939656.18,696970.3
